耐用年数	定額法償却率	定率法償却率	定率法改定償却率	定率法保証率
2	0.5	1	0	0
3	0.334	0.833	1	0.02789
4	0.25	0.625	1	0.05274
5	0.2	0.5	1	0.06249
6	0.167	0.417	0.5	0.05776
7	0.143	0.357	0.5	0.05496
8	0.125	0.313	0.334	0.05111
9	0.112	0.278	0.334	0.04731
10	0.1	0.25	0.334	0.04448
11	0.091	0.227	0.25	0.04123
12	0.084	0.208	0.25	0.0387
13	0.077	0.192	0.2	0.03633
14	0.072	0.179	0.2	0.03389
15	0.067	0.167	0.2	0.03217
16	0.063	0.156	0.167	0.03063
17	0.059	0.147	0.167	0.02905
18	0.056	0.139	0.143	0.02757
19	0.053	0.132	0.143	0.02616
20	0.05	0.125	0.143	0.02517
21	0.048	0.119	0.125	0.02408
22	0.046	0.114	0.125	0.02296
23	0.044	0.109	0.112	0.02226
24	0.042	0.104	0.112	0.02157
25	0.04	0.1	0.112	0.02058
26	0.039	0.096	0.1	0.01989
27	0.038	0.093	0.1	0.01902
28	0.036	0.089	0.091	0.01866
29	0.035	0.086	0.091	0.01803
30	0.034	0.083	0.084	0.01766
31	0.033	0.081	0.084	0.01688
32	0.032	0.078	0.084	0.01655
33	0.031	0.076	0.077	0.01585
34	0.03	0.074	0.077	0.01532
35	0.029	0.071	0.072	0.01532
36	0.028	0.069	0.072	0.01494
37	0.028	0.068	0.072	0.01425
38	0.027	0.066	0.067	0.01393
39	0.026	0.064	0.067	0.0137
40	0.025	0.063	0.067	0.01317
41	0.025	0.061	0.063	0.01306
42	0.024	0.06	0.063	0.01261
43	0.024	0.058	0.059	0.01248
44	0.023	0.057	0.059	0.0121
45	0.023	0.056	0.059	0.01175
46	0.022	0.054	0.056	0.01175
47	0.022	0.053	0.056	0.01153
48	0.021	0.052	0.053	0.01126
49	0.021	0.051	0.053	0.01102
50	0.02	0.05	0.053	0.01072
