その月の社会保険料等控除後の給与等の金額（以上）	その月の社会保険料等控除後の給与等の金額（未満）	扶養親族等の数（０人）	扶養親族等の数（１人）	扶養親族等の数（２人）	扶養親族等の数（３人）	扶養親族等の数（４人）	扶養親族等の数（５人）	扶養親族等の数（６人）	扶養親族等の数（７人）	乙
88000	89000	130	0	0	0	0	0	0	0	3100
89000	90000	180	0	0	0	0	0	0	0	3100
90000	91000	230	0	0	0	0	0	0	0	3100
91000	92000	280	0	0	0	0	0	0	0	3100
92000	93000	330	0	0	0	0	0	0	0	3200
93000	94000	380	0	0	0	0	0	0	0	3200
94000	95000	430	0	0	0	0	0	0	0	3200
95000	96000	480	0	0	0	0	0	0	0	3300
96000	97000	530	0	0	0	0	0	0	0	3300
97000	98000	580	0	0	0	0	0	0	0	3400
98000	99000	630	0	0	0	0	0	0	0	3400
99000	101000	710	0	0	0	0	0	0	0	3500
101000	103000	810	0	0	0	0	0	0	0	3500
103000	105000	910	0	0	0	0	0	0	0	3600
105000	107000	1010	0	0	0	0	0	0	0	3700
107000	109000	1110	0	0	0	0	0	0	0	3700
109000	111000	1210	0	0	0	0	0	0	0	3800
111000	113000	1310	0	0	0	0	0	0	0	3900
113000	115000	1410	0	0	0	0	0	0	0	4000
115000	117000	1510	0	0	0	0	0	0	0	4000
117000	119000	1610	0	0	0	0	0	0	0	4100
119000	121000	1710	120	0	0	0	0	0	0	4200
121000	123000	1810	220	0	0	0	0	0	0	4400
123000	125000	1910	320	0	0	0	0	0	0	4700
125000	127000	2010	420	0	0	0	0	0	0	5000
127000	129000	2110	520	0	0	0	0	0	0	5300
129000	131000	2210	620	0	0	0	0	0	0	5600
131000	133000	2310	720	0	0	0	0	0	0	5900
133000	135000	2410	820	0	0	0	0	0	0	6200
135000	137000	2500	910	0	0	0	0	0	0	6500
137000	139000	2560	970	0	0	0	0	0	0	6700
139000	141000	2620	1030	0	0	0	0	0	0	7000
141000	143000	2680	1090	0	0	0	0	0	0	7300
143000	145000	2740	1150	0	0	0	0	0	0	7600
145000	147000	2800	1210	0	0	0	0	0	0	7900
147000	149000	2860	1270	0	0	0	0	0	0	8200
149000	151000	2920	1330	0	0	0	0	0	0	8500
151000	153000	2990	1400	0	0	0	0	0	0	8800
153000	155000	3060	1470	0	0	0	0	0	0	9100
155000	157000	3130	1540	0	0	0	0	0	0	9400
157000	159000	3200	1610	0	0	0	0	0	0	9700
159000	161000	3270	1680	100	0	0	0	0	0	10000
161000	163000	3340	1750	170	0	0	0	0	0	10300
163000	165000	3410	1820	240	0	0	0	0	0	10600
165000	167000	3480	1890	310	0	0	0	0	0	10900
167000	169000	3550	1960	380	0	0	0	0	0	11200
169000	171000	3620	2030	450	0	0	0	0	0	11500
171000	173000	3690	2100	520	0	0	0	0	0	11800
173000	175000	3760	2170	590	0	0	0	0	0	12100
