その月の社会保険料等控除後の給与等の金額（以上）	その月の社会保険料等控除後の給与等の金額（未満）	扶養親族等の数（０人）	扶養親族等の数（１人）	扶養親族等の数（２人）	扶養親族等の数（３人）	扶養親族等の数（４人）	扶養親族等の数（５人）	扶養親族等の数（６人）	扶養親族等の数（７人）	乙	計算率（甲）	計算率（乙）
88000	89000	130	0	0	0	0	0	0	0	3200		
89000	90000	180	0	0	0	0	0	0	0	3200		
90000	91000	230	0	0	0	0	0	0	0	3200		
91000	92000	290	0	0	0	0	0	0	0	3200		
92000	93000	340	0	0	0	0	0	0	0	3300		
												
93000	94000	390	0	0	0	0	0	0	0	3300		
94000	95000	440	0	0	0	0	0	0	0	3300		
95000	96000	490	0	0	0	0	0	0	0	3400		
96000	97000	540	0	0	0	0	0	0	0	3400		
97000	98000	590	0	0	0	0	0	0	0	3500		
												
98000	99000	640	0	0	0	0	0	0	0	3500		
99000	101000	720	0	0	0	0	0	0	0	3600		
101000	103000	830	0	0	0	0	0	0	0	3600		
103000	105000	930	0	0	0	0	0	0	0	3700		
105000	107000	1030	0	0	0	0	0	0	0	3800		
												
107000	109000	1130	0	0	0	0	0	0	0	3800		
109000	111000	1240	0	0	0	0	0	0	0	3900		
111000	113000	1340	0	0	0	0	0	0	0	4000		
113000	115000	1440	0	0	0	0	0	0	0	4100		
115000	117000	1540	0	0	0	0	0	0	0	4100		
												
117000	119000	1640	0	0	0	0	0	0	0	4200		
119000	121000	1750	120	0	0	0	0	0	0	4300		
121000	123000	1850	220	0	0	0	0	0	0	4500		
123000	125000	1950	330	0	0	0	0	0	0	4800		
125000	127000	2050	430	0	0	0	0	0	0	5100		
												
127000	129000	2150	530	0	0	0	0	0	0	5400		
129000	131000	2260	630	0	0	0	0	0	0	5700		
131000	133000	2360	740	0	0	0	0	0	0	6000		
133000	135000	2460	840	0	0	0	0	0	0	6300		
135000	137000	2550	930	0	0	0	0	0	0	6600		
												
137000	139000	2610	990	0	0	0	0	0	0	6800		
139000	141000	2680	1050	0	0	0	0	0	0	7100		
141000	143000	2740	1110	0	0	0	0	0	0	7500		
143000	145000	2800	1170	0	0	0	0	0	0	7800		
145000	147000	2860	1240	0	0	0	0	0	0	8100		
												
147000	149000	2920	1300	0	0	0	0	0	0	8400		
149000	151000	2980	1360	0	0	0	0	0	0	8700		
151000	153000	3050	1430	0	0	0	0	0	0	9000		
153000	155000	3120	1500	0	0	0	0	0	0	9300		
155000	157000	3200	1570	0	0	0	0	0	0	9600		
												
157000	159000	3270	1640	0	0	0	0	0	0	9900		
159000	161000	3340	1720	100	0	0	0	0	0	10200		
161000	163000	3410	1790	170	0	0	0	0	0	10500		
163000	165000	3480	1860	250	0	0	0	0	0	10800		
165000	167000	3550	1930	320	0	0	0	0	0	11100		
												
167000	169000	3620	2000	390	0	0	0	0	0	11400		
169000	171000	3700	2070	460	0	0	0	0	0	11700		
171000	173000	3770	2140	530	0	0	0	0	0	12000		
173000	175000	3840	2220	600	0	0	0	0	0	12400		
175000	177000	3910	2290	670	0	0	0	0	0	12700		
												
177000	179000	3980	2360	750	0	0	0	0	0	13200		
179000	181000	4050	2430	820	0	0	0	0	0	13900		
181000	183000	4120	2500	890	0	0	0	0	0	14600		
183000	185000	4200	2570	960	0	0	0	0	0	15300		
185000	187000	4270	2640	1030	0	0	0	0	0	16000		
												
187000	189000	4340	2720	1100	0	0	0	0	0	16700		
189000	191000	4410	2790	1170	0	0	0	0	0	17500		
191000	193000	4480	2860	1250	0	0	0	0	0	18100		
193000	195000	4550	2930	1320	0	0	0	0	0	18800		
195000	197000	4630	3000	1390	0	0	0	0	0	19500		
												
197000	199000	4700	3070	1460	0	0	0	0	0	20200		
199000	201000	4770	3140	1530	0	0	0	0	0	20900		
201000	203000	4840	3220	1600	0	0	0	0	0	21500		
203000	205000	4910	3290	1670	0	0	0	0	0	22200		
205000	207000	4980	3360	1750	130	0	0	0	0	22700		
												
207000	209000	5050	3430	1820	200	0	0	0	0	23300		
209000	211000	5130	3500	1890	280	0	0	0	0	23900		
211000	213000	5200	3570	1960	350	0	0	0	0	24400		
213000	215000	5270	3640	2030	420	0	0	0	0	25000		
215000	217000	5340	3720	2100	490	0	0	0	0	25500		
												
217000	219000	5410	3790	2170	560	0	0	0	0	26100		
219000	221000	5480	3860	2250	630	0	0	0	0	26800		
221000	224000	5560	3950	2340	710	0	0	0	0	27400		
224000	227000	5680	4060	2440	830	0	0	0	0	28400		
227000	230000	5780	4170	2550	930	0	0	0	0	29300		
												
230000	233000	5890	4280	2650	1040	0	0	0	0	30300		
233000	236000	5990	4380	2770	1140	0	0	0	0	31300		
236000	239000	6110	4490	2870	1260	0	0	0	0	32400		
239000	242000	6210	4590	2980	1360	0	0	0	0	33400		
242000	245000	6320	4710	3080	1470	0	0	0	0	34400		
												
245000	248000	6420	4810	3200	1570	0	0	0	0	35400		
248000	251000	6530	4920	3300	1680	0	0	0	0	36400		
251000	254000	6640	5020	3410	1790	170	0	0	0	37500		
254000	257000	6750	5140	3510	1900	290	0	0	0	38500		
257000	260000	6850	5240	3620	2000	390	0	0	0	39400		
												
260000	263000	6960	5350	3730	2110	500	0	0	0	40400		
263000	266000	7070	5450	3840	2220	600	0	0	0	41500		
266000	269000	7180	5560	3940	2330	710	0	0	0	42500		
269000	272000	7280	5670	4050	2430	820	0	0	0	43500		
272000	275000	7390	5780	4160	2540	930	0	0	0	44500		
												
275000	278000	7490	5880	4270	2640	1030	0	0	0	45500		
278000	281000	7610	5990	4370	2760	1140	0	0	0	46600		
281000	284000	7710	6100	4480	2860	1250	0	0	0	47600		
284000	287000	7820	6210	4580	2970	1360	0	0	0	48600		
287000	290000	7920	6310	4700	3070	1460	0	0	0	49700		
												
290000	293000	8040	6420	4800	3190	1570	0	0	0	50900		
293000	296000	8140	6520	4910	3290	1670	0	0	0	52100		
296000	299000	8250	6640	5010	3400	1790	160	0	0	52900		
299000	302000	8420	6740	5130	3510	1890	280	0	0	53700		
302000	305000	8670	6860	5250	3630	2010	400	0	0	54500		
												
305000	308000	8910	6980	5370	3760	2130	520	0	0	55200		
308000	311000	9160	7110	5490	3880	2260	640	0	0	56100		
311000	314000	9400	7230	5620	4000	2380	770	0	0	56900		
314000	317000	9650	7350	5740	4120	2500	890	0	0	57800		
317000	320000	9890	7470	5860	4250	2620	1010	0	0	58800		
												
320000	323000	10140	7600	5980	4370	2750	1130	0	0	59800		
323000	326000	10380	7720	6110	4490	2870	1260	0	0	60900		
326000	329000	10630	7840	6230	4610	2990	1380	0	0	61900		
329000	332000	10870	7960	6350	4740	3110	1500	0	0	62900		
332000	335000	11120	8090	6470	4860	3240	1620	0	0	63900		
												
335000	338000	11360	8210	6600	4980	3360	1750	130	0	64900		
338000	341000	11610	8370	6720	5110	3480	1870	260	0	66000		
341000	344000	11850	8620	6840	5230	3600	1990	380	0	67000		
344000	347000	12100	8860	6960	5350	3730	2110	500	0	68000		
347000	350000	12340	9110	7090	5470	3850	2240	620	0	69000		
												
350000	353000	12590	9350	7210	5600	3970	2360	750	0	70000		
353000	356000	12830	9600	7330	5720	4090	2480	870	0	71100		
356000	359000	13080	9840	7450	5840	4220	2600	990	0	72100		
359000	362000	13320	10090	7580	5960	4340	2730	1110	0	73100		
362000	365000	13570	10330	7700	6090	4460	2850	1240	0	74200		
												
365000	368000	13810	10580	7820	6210	4580	2970	1360	0	75200		
368000	371000	14060	10820	7940	6330	4710	3090	1480	0	76200		
371000	374000	14300	11070	8070	6450	4830	3220	1600	0	77100		
