賞与の金額に乗ずべき率	"扶養親族等の数（０人）前月の社会保険料等控除後の給与等の金額（以上）"	"扶養親族等の数（０人）前月の社会保険料等控除後の給与等の金額（未満）"	"扶養親族等の数（１人）前月の社会保険料等控除後の給与等の金額（以上）"	"扶養親族等の数（１人）前月の社会保険料等控除後の給与等の金額（未満）"	"扶養親族等の数（２人）前月の社会保険料等控除後の給与等の金額（以上）"	"扶養親族等の数（２人）前月の社会保険料等控除後の給与等の金額（未満）"	"扶養親族等の数（３人）前月の社会保険料等控除後の給与等の金額（以上）"	"扶養親族等の数（３人）前月の社会保険料等控除後の給与等の金額（未満）"	"扶養親族等の数（４人）前月の社会保険料等控除後の給与等の金額（以上）"	"扶養親族等の数（４人）前月の社会保険料等控除後の給与等の金額（未満）"	"扶養親族等の数（５人）前月の社会保険料等控除後の給与等の金額（以上）"	"扶養親族等の数（５人）前月の社会保険料等控除後の給与等の金額（未満）"	"扶養親族等の数（６人）前月の社会保険料等控除後の給与等の金額（以上）"	"扶養親族等の数（６人）前月の社会保険料等控除後の給与等の金額（未満）"	"扶養親族等の数（７人）前月の社会保険料等控除後の給与等の金額（以上）"	"扶養親族等の数（７人）前月の社会保険料等控除後の給与等の金額（未満）"	"乙前月の社会保険料等控除後の給与等の金額（以上）"	"乙前月の社会保険料等控除後の給与等の金額（未満）"
0.000	0	82	0	107	0	143	0	181	0	218	0	251	0	284	0	317		
2.042	82	94	107	250	143	276	181	300	218	300	251	304	284	343	317	383		
4.084	94	260	250	289	276	321	300	354	300	387	304	412	343	438	383	463		
6.126	260	309	289	346	321	377	354	405	387	431	412	457	438	483	463	508		
8.168	309	342	346	373	377	400	405	424	431	452	457	479	483	505	508	529		
10.210	342	372	373	401	400	426	424	452	452	477	479	503	505	527	529	552	0	224
12.252	372	402	401	430	426	457	452	484	477	509	503	531	527	553	552	578		
14.294	402	433	430	463	457	492	484	517	509	540	531	564	553	589	578	614		
16.336	433	520	463	520	492	525	517	550	540	577	564	604	589	630	614	657		
18.378	520	605	520	621	525	636	550	651	577	666	604	681	630	697	657	708		
20.420	605	684	621	705	636	728	651	751	666	774	681	798	697	821	708	845	224	295
22.462	684	715	705	739	728	764	751	788	774	813	798	838	821	862	845	887		
24.504	715	752	739	778	764	804	788	830	813	856	838	881	862	907	887	933		
26.546	752	795	778	821	804	848	830	876	856	903	881	930	907	957	933	985		
28.588	795	854	821	882	848	910	876	938	903	966	930	994	957	1022	985	1051		
30.630	854	922	882	952	910	983	938	1013	966	1044	994	1074	1022	1104	1051	1135	295	527
32.672	922	1318	952	1342	983	1367	1013	1391	1044	1416	1074	1440	1104	1464	1135	1489		
35.735	1318	1521	1342	1526	1367	1526	1391	1538	1416	1555	1440	1555	1464	1555	1489	1583		
38.798	1521	2621	1526	2645	1526	2669	1538	2693	1555	2716	1555	2740	1555	2764	1583	2788	527	1118
41.861	2621	3495	2645	3527	2669	3559	2693	3590	2716	3622	2740	3654	2764	3685	2788	3717		
45.945	3495	-	3527	-	3559	-	3590	-	3622	-	3654	-	3685	-	3717	-	1118	-
