都道府県	一般保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.14	3.83	6.31
青森県	9.98	3.83	6.15
岩手県	9.97	3.83	6.14
宮城県	9.96	3.83	6.13
秋田県	10.06	3.83	6.23
山形県	9.97	3.83	6.14
福島県	9.92	3.83	6.09
茨城県	9.92	3.83	6.09
栃木県	9.95	3.83	6.12
群馬県	9.92	3.83	6.09
埼玉県	9.93	3.83	6.1
千葉県	9.97	3.83	6.14
東京都	9.97	3.83	6.14
神奈川県	9.98	3.83	6.15
新潟県	9.86	3.83	6.03
富山県	9.91	3.83	6.08
石川県	9.99	3.83	6.16
福井県	9.93	3.83	6.1
山梨県	9.96	3.83	6.13
長野県	9.91	3.83	6.08
岐阜県	9.98	3.83	6.15
静岡県	9.92	3.83	6.09
愛知県	9.97	3.83	6.14
三重県	9.94	3.83	6.11
滋賀県	9.94	3.83	6.11
京都府	10.02	3.83	6.19
大阪府	10.04	3.83	6.21
兵庫県	10.04	3.83	6.21
奈良県	9.98	3.83	6.15
和歌山県	9.97	3.83	6.14
鳥取県	9.96	3.83	6.13
島根県	10.06	3.83	6.23
岡山県	10.09	3.83	6.26
広島県	10.03	3.83	6.2
山口県	10.1	3.83	6.27
徳島県	10.1	3.83	6.27
香川県	10.11	3.83	6.28
愛媛県	10.03	3.83	6.2
高知県	10.05	3.83	6.22
福岡県	10.09	3.83	6.26
佐賀県	10.21	3.83	6.38
長崎県	10.07	3.83	6.24
熊本県	10.09	3.83	6.26
大分県	10.03	3.83	6.2
宮崎県	9.98	3.83	6.15
鹿児島県	10.02	3.83	6.19
沖縄県	9.96	3.83	6.13
