都道府県	 一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	9.42	1.5	3.5	5.92
青森県	9.35	1.5	3.5	5.85
岩手県	9.32	1.5	3.5	5.82
宮城県	9.34	1.5	3.5	5.84
秋田県	9.37	1.5	3.5	5.87
山形県	9.3	1.5	3.5	5.8
福島県	9.33	1.5	3.5	5.83
茨城県	9.3	1.5	3.5	5.8
栃木県	9.32	1.5	3.5	5.82
群馬県	9.31	1.5	3.5	5.81
埼玉県	9.3	1.5	3.5	5.8
千葉県	9.31	1.5	3.5	5.81
東京都	9.32	1.5	3.5	5.82
神奈川県	9.33	1.5	3.5	5.83
新潟県	9.29	1.5	3.5	5.79
富山県	9.31	1.5	3.5	5.81
石川県	9.36	1.5	3.5	5.86
福井県	9.34	1.5	3.5	5.84
山梨県	9.31	1.5	3.5	5.81
長野県	9.26	1.5	3.5	5.76
岐阜県	9.34	1.5	3.5	5.84
静岡県	9.3	1.5	3.5	5.8
愛知県	9.33	1.5	3.5	5.83
三重県	9.34	1.5	3.5	5.84
滋賀県	9.33	1.5	3.5	5.83
京都府	9.33	1.5	3.5	5.83
大阪府	9.38	1.5	3.5	5.88
兵庫県	9.36	1.5	3.5	5.86
奈良県	9.35	1.5	3.5	5.85
和歌山県	9.37	1.5	3.5	5.87
鳥取県	9.34	1.5	3.5	5.84
島根県	9.35	1.5	3.5	5.85
岡山県	9.38	1.5	3.5	5.88
広島県	9.37	1.5	3.5	5.87
山口県	9.37	1.5	3.5	5.87
徳島県	9.39	1.5	3.5	5.89
香川県	9.4	1.5	3.5	5.9
愛媛県	9.34	1.5	3.5	5.84
高知県	9.38	1.5	3.5	5.88
福岡県	9.4	1.5	3.5	5.9
佐賀県	9.41	1.5	3.5	5.91
長崎県	9.37	1.5	3.5	5.87
熊本県	9.37	1.5	3.5	5.87
大分県	9.38	1.5	3.5	5.88
宮崎県	9.34	1.5	3.5	5.84
鹿児島県	9.36	1.5	3.5	5.86
沖縄県	9.33	1.5	3.5	5.83
