都道府県	一般保険料率（％）	介護保険料率（％）	特定保険料率（％）	基本保険料率（％）
北海道	10.41	1.79	3.43	6.98
青森県	9.88	1.79	3.43	6.45
岩手県	9.77	1.79	3.43	6.34
宮城県	10.06	1.79	3.43	6.63
秋田県	10.25	1.79	3.43	6.82
山形県	10.05	1.79	3.43	6.62
福島県	9.71	1.79	3.43	6.28
茨城県	9.77	1.79	3.43	6.34
栃木県	9.88	1.79	3.43	6.45
群馬県	9.77	1.79	3.43	6.34
埼玉県	9.81	1.79	3.43	6.38
千葉県	9.75	1.79	3.43	6.32
東京都	9.87	1.79	3.43	6.44
神奈川県	9.93	1.79	3.43	6.5
新潟県	9.58	1.79	3.43	6.15
富山県	9.59	1.79	3.43	6.16
石川県	10.01	1.79	3.43	6.58
福井県	9.95	1.79	3.43	6.52
山梨県	9.81	1.79	3.43	6.38
長野県	9.7	1.79	3.43	6.27
岐阜県	9.92	1.79	3.43	6.49
静岡県	9.73	1.79	3.43	6.3
愛知県	9.88	1.79	3.43	6.45
三重県	9.77	1.79	3.43	6.34
滋賀県	9.79	1.79	3.43	6.36
京都府	10.03	1.79	3.43	6.6
大阪府	10.22	1.79	3.43	6.79
兵庫県	10.14	1.79	3.43	6.71
奈良県	10.14	1.79	3.43	6.71
和歌山県	10.14	1.79	3.43	6.71
鳥取県	9.99	1.79	3.43	6.56
島根県	10.15	1.79	3.43	6.72
岡山県	10.17	1.79	3.43	6.74
広島県	10.01	1.79	3.43	6.58
山口県	10.2	1.79	3.43	6.77
徳島県	10.28	1.79	3.43	6.85
香川県	10.34	1.79	3.43	6.91
愛媛県	10.07	1.79	3.43	6.64
高知県	10.3	1.79	3.43	6.87
福岡県	10.32	1.79	3.43	6.89
佐賀県	10.73	1.79	3.43	7.3
長崎県	10.22	1.79	3.43	6.79
熊本県	10.33	1.79	3.43	6.9
大分県	10.17	1.79	3.43	6.74
宮崎県	9.91	1.79	3.43	6.48
鹿児島県	10.25	1.79	3.43	6.82
沖縄県	9.97	1.79	3.43	6.54
