等級（健康保険）	等級（厚生年金）	標準報酬月額	標準報酬日額	報酬月額（以上）	報酬月額（未満）
1	0	58000	1930	0	63000
2	0	68000	2270	63000	73000
3	0	78000	2600	73000	83000
4	1	88000	2930	83000	93000
5	2	98000	3270	93000	101000
6	3	104000	3470	101000	107000
7	4	110000	3670	107000	114000
8	5	118000	3930	114000	122000
9	6	126000	4200	122000	130000
10	7	134000	4470	130000	138000
11	8	142000	4730	138000	146000
12	9	150000	5000	146000	155000
13	10	160000	5330	155000	165000
14	11	170000	5670	165000	175000
15	12	180000	6000	175000	185000
16	13	190000	6330	185000	195000
17	14	200000	6670	195000	210000
18	15	220000	7330	210000	230000
19	16	240000	8000	230000	250000
20	17	260000	8670	250000	270000
21	18	280000	9330	270000	290000
22	19	300000	10000	290000	310000
23	20	320000	10670	310000	330000
24	21	340000	11330	330000	350000
25	22	360000	12000	350000	370000
26	23	380000	12670	370000	395000
27	24	410000	13670	395000	425000
28	25	440000	14670	425000	455000
29	26	470000	15670	455000	485000
30	27	500000	16670	485000	515000
31	28	530000	17670	515000	545000
32	29	560000	18670	545000	575000
33	30	590000	19670	575000	605000
34	31	620000	20670	605000	635000
35	-	650000	21670	635000	665000
36	-	680000	22670	665000	695000
37	-	710000	23670	695000	730000
38	-	750000	25000	730000	770000
39	-	790000	26330	770000	810000
40	-	830000	27670	810000	855000
41	-	880000	29330	855000	905000
42	-	930000	31000	905000	955000
43	-	980000	32670	955000	1005000
44	-	1030000	34330	1005000	1055000
45	-	1090000	36330	1055000	1115000
46	-	1150000	38330	1115000	1175000
47	-	1210000	40330	1175000	1235000
48	-	1270000	42330	1235000	1295000
49	-	1330000	44330	1295000	1355000
50	-	1390000	46330	1355000	-
